サイト名,店舗名,住所(アクセス含む),電話番号,説明文,料金表の下の説明文,画像URL,タイプ,広さ(約畳）,広さ(幅ｘ奥行ｘ高さ),月額料金,キャンペーン料金,空き状況
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,0.4畳,0.40,,9000,6300,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,0.5畳,0.50,,10100,7070,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,0.7畳,0.70,,11300,7910,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,0.8畳,0.80,,12800,8960,○
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,1畳,1.00,,14700,10290,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,1.3畳,1.30,,16400,11480,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,1.6畳,1.60,,19800,13860,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,2畳,2.00,,24100,16870,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,2.5畳,2.50,,30600,21420,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,3.3畳,3.30,,37400,26180,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,4畳,4.00,,45300,31710,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,5畳,5.00,,49000,34300,残りわずか
"キュラーズ ",キュラーズ錦糸町店（東京都墨田区）,"東京都墨田区江東橋2-2-6 JR「錦糸町駅」南口徒歩6分",0120-15-9773,"トランクルーム・キュラーズ錦糸町店を選ぶ理由 JR・東京メトロ半蔵門線「錦糸町駅」から徒歩6分 　　千葉方面からもアクセス便利 　　ビル内の収納スペースは800室 東京都墨田区のキュラーズ錦糸町店は、千葉と東京を結ぶJR総武線・東京メトロ半蔵門線「錦糸町駅」から徒歩6分に位置するビルに、約800室の収納スペースをご用意しております。荒川を挟んだ葛飾区・江戸川区からのお客様や、千葉エリア市川や船橋方面からのお客様も多くいらっしゃいます。首都高速7号小松川線の錦糸町出入り口からすぐなので、お車でもお越しいただけます。店舗入り口前に無料駐車場も2台分ご用意しているので、備え付けの台車を利用すれば館内の収納スペースまで容易に運搬することが可能です。温度湿度も管理され、セキュリティも万全なので、24時間いつでも荷物の出し入れが可能となっております。ぜひ一度ご見学だけでもお立ち寄りください。店舗スタッフがお待ちしております。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_kinshicho/photo01.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo02.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo03.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo04.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo05.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo06.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo07.jpg;http://www.quraz.com/tokyo/image/_kinshicho/photo08.jpg,6.5畳,6.50,,65400,45780,残りわずか
